Date,Index,Country,Close,Currency
2020-03-01,s&p 500,united states,3090.23,USD
2020-03-02,s&p 500,united states,3003.37,USD
2020-03-03,s&p 500,united states,3130.12,USD
2020-03-04,s&p 500,united states,3023.94,USD
2020-03-05,s&p 500,united states,2972.37,USD
2020-03-08,s&p 500,united states,2746.56,USD
2020-03-09,s&p 500,united states,2882.23,USD
2020-03-10,s&p 500,united states,2741.38,USD
2020-03-11,s&p 500,united states,2480.64,USD
2020-03-12,s&p 500,united states,2711.02,USD
2020-03-15,s&p 500,united states,2386.13,USD
2020-03-16,s&p 500,united states,2529.19,USD
2020-03-17,s&p 500,united states,2398.1,USD
2020-03-18,s&p 500,united states,2409.39,USD
2020-03-19,s&p 500,united states,2304.92,USD
2020-03-22,s&p 500,united states,2237.4,USD
2020-03-23,s&p 500,united states,2447.33,USD
2020-03-24,s&p 500,united states,2475.56,USD
2020-03-25,s&p 500,united states,2630.07,USD
2020-03-26,s&p 500,united states,2541.47,USD
2020-03-29,s&p 500,united states,2626.65,USD
2020-03-30,s&p 500,united states,2584.59,USD
2020-01-01,ftse 100,united kingdom,7604.3,GBP
2020-01-02,ftse 100,united kingdom,7622.4,GBP
2020-01-05,ftse 100,united kingdom,7575.34,GBP
2020-01-06,ftse 100,united kingdom,7573.85,GBP
2020-01-07,ftse 100,united kingdom,7574.93,GBP
2020-01-08,ftse 100,united kingdom,7598.12,GBP
2020-01-09,ftse 100,united kingdom,7587.85,GBP
2020-01-12,ftse 100,united kingdom,7617.6,GBP
2020-01-13,ftse 100,united kingdom,7622.35,GBP
2020-01-14,ftse 100,united kingdom,7642.8,GBP
2020-01-15,ftse 100,united kingdom,7609.81,GBP
2020-01-16,ftse 100,united kingdom,7674.56,GBP
2020-01-19,ftse 100,united kingdom,7651.44,GBP
2020-01-20,ftse 100,united kingdom,7610.7,GBP
2020-01-21,ftse 100,united kingdom,7571.92,GBP
2020-01-22,ftse 100,united kingdom,7507.67,GBP
2020-01-23,ftse 100,united kingdom,7585.98,GBP
2020-01-26,ftse 100,united kingdom,7412.05,GBP
2020-01-27,ftse 100,united kingdom,7480.69,GBP
2020-01-28,ftse 100,united kingdom,7483.57,GBP
2020-01-29,ftse 100,united kingdom,7381.96,GBP
2020-01-30,ftse 100,united kingdom,7286.01,GBP
2020-02-02,ftse 100,united kingdom,7326.31,GBP
2020-02-03,ftse 100,united kingdom,7439.82,GBP
2020-02-04,ftse 100,united kingdom,7482.48,GBP
2020-02-05,ftse 100,united kingdom,7504.79,GBP
2020-02-06,ftse 100,united kingdom,7466.7,GBP
2020-02-09,ftse 100,united kingdom,7446.88,GBP
2020-02-10,ftse 100,united kingdom,7499.44,GBP
2020-02-11,ftse 100,united kingdom,7534.37,GBP
2020-02-12,ftse 100,united kingdom,7452.03,GBP
2020-02-13,ftse 100,united kingdom,7409.13,GBP
2020-02-16,ftse 100,united kingdom,7433.25,GBP
2020-02-17,ftse 100,united kingdom,7382.01,GBP
2020-02-18,ftse 100,united kingdom,7457.02,GBP
2020-02-19,ftse 100,united kingdom,7436.64,GBP
2020-02-20,ftse 100,united kingdom,7403.92,GBP
2020-02-23,ftse 100,united kingdom,7156.83,GBP
2020-02-24,ftse 100,united kingdom,7017.88,GBP
2020-02-25,ftse 100,united kingdom,7042.47,GBP
2020-02-26,ftse 100,united kingdom,6796.4,GBP
2020-02-27,ftse 100,united kingdom,6580.61,GBP
2020-03-01,ftse 100,united kingdom,6654.89,GBP
2020-03-02,ftse 100,united kingdom,6718.2,GBP
2020-03-03,ftse 100,united kingdom,6815.59,GBP
2020-03-04,ftse 100,united kingdom,6705.43,GBP
2020-03-05,ftse 100,united kingdom,6462.55,GBP
2020-03-08,ftse 100,united kingdom,5965.77,GBP
2020-03-09,ftse 100,united kingdom,5960.23,GBP
2020-03-10,ftse 100,united kingdom,5876.52,GBP
2020-03-11,ftse 100,united kingdom,5237.48,GBP
2020-03-12,ftse 100,united kingdom,5366.11,GBP
2020-03-15,ftse 100,united kingdom,5151.08,GBP
2020-03-16,ftse 100,united kingdom,5294.9,GBP
2020-03-17,ftse 100,united kingdom,5080.58,GBP
2020-03-18,ftse 100,united kingdom,5151.61,GBP
2020-03-19,ftse 100,united kingdom,5190.78,GBP
2020-03-22,ftse 100,united kingdom,4993.89,GBP
2020-03-23,ftse 100,united kingdom,5446.01,GBP
2020-03-24,ftse 100,united kingdom,5688.2,GBP
2020-03-25,ftse 100,united kingdom,5815.73,GBP
2020-03-26,ftse 100,united kingdom,5510.33,GBP
2020-03-29,ftse 100,united kingdom,5563.74,GBP
2020-03-30,ftse 100,united kingdom,5671.96,GBP
2020-01-01,MSCI United Kingdom,united kingdom,2174.22,GBP
2020-01-02,MSCI United Kingdom,united kingdom,2179.94,GBP
2020-01-05,MSCI United Kingdom,united kingdom,2167.17,GBP
2020-01-06,MSCI United Kingdom,united kingdom,2166.39,GBP
2020-01-07,MSCI United Kingdom,united kingdom,2166.95,GBP
2020-01-08,MSCI United Kingdom,united kingdom,2172.48,GBP
2020-01-09,MSCI United Kingdom,united kingdom,2169.1,GBP
2020-01-12,MSCI United Kingdom,united kingdom,2177.58,GBP
2020-01-13,MSCI United Kingdom,united kingdom,2179.67,GBP
2020-01-14,MSCI United Kingdom,united kingdom,2186.21,GBP
2020-01-15,MSCI United Kingdom,united kingdom,2177.23,GBP
2020-01-16,MSCI United Kingdom,united kingdom,2195.44,GBP
2020-01-19,MSCI United Kingdom,united kingdom,2188.82,GBP
2020-01-20,MSCI United Kingdom,united kingdom,2177.12,GBP
2020-01-21,MSCI United Kingdom,united kingdom,2166.01,GBP
2020-01-22,MSCI United Kingdom,united kingdom,2147.75,GBP
2020-01-23,MSCI United Kingdom,united kingdom,2170.15,GBP
2020-01-26,MSCI United Kingdom,united kingdom,2120.57,GBP
2020-01-27,MSCI United Kingdom,united kingdom,2140.46,GBP
2020-01-28,MSCI United Kingdom,united kingdom,2140.88,GBP
2020-01-29,MSCI United Kingdom,united kingdom,2111.94,GBP
2020-01-30,MSCI United Kingdom,united kingdom,2084.42,GBP
2020-02-02,MSCI United Kingdom,united kingdom,2094.67,GBP
2020-02-03,MSCI United Kingdom,united kingdom,2126.03,GBP
2020-02-04,MSCI United Kingdom,united kingdom,2136.89,GBP
2020-02-05,MSCI United Kingdom,united kingdom,2143.08,GBP
2020-02-06,MSCI United Kingdom,united kingdom,2132.06,GBP
2020-02-09,MSCI United Kingdom,united kingdom,2126.53,GBP
